Group Policy Setting,Constant Name
Microsoft network server: Amount of idle time required before suspending session,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\AutoDisconnect
Microsoft network server: Digitally sign communications (always),MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\RequireSecuritySignature
Microsoft network server: Digitally sign communications (if client agrees),MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\EnableSecuritySignature
Microsoft network server: Disconnect clients when logon hours expire,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\EnableForcedLogOff
Microsoft network server: Server SPN target name validation level,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\SmbServerNameHardeningLevel
Network access: Do not allow anonymous enumeration of SAM accounts,MACHINE\System\CurrentControlSet\Control\Lsa\RestrictAnonymousSAM
Network access: Do not allow anonymous enumeration of SAM accounts and shares,MACHINE\System\CurrentControlSet\Control\Lsa\RestrictAnonymous
Network access: Do not allow storage of passwords and credentials for network authentication,MACHINE\System\CurrentControlSet\Control\Lsa\DisableDomainCreds
Network access: Let Everyone permissions apply to anonymous users,MACHINE\System\CurrentControlSet\Control\Lsa\EveryoneIncludesAnonymous
Network access: Named Pipes that can be accessed anonymously,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\NullSessionPipes
Network access: Remotely accessible registry paths,MACHINE\System\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedPaths\Machine
Network access: Remotely accessible registry paths and sub-paths,MACHINE\System\CurrentControlSet\Control\SecurePipeServers\Winreg\AllowedPaths\Machine
Network access: Restrict anonymous access to Named Pipes and Shares,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\NullSessionShares
Network access: Shares that can be accessed anonymously,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\NullSessionShares 
Network access: Sharing and security model for local accounts,MACHINE\System\CurrentControlSet\Control\Lsa\ForceGuest
Network security: Do not store LAN Manager hash value on next password change,MACHINE\System\CurrentControlSet\Control\Lsa\NoLMHash
Network security: LAN Manager authentication level,MACHINE\System\CurrentControlSet\Control\Lsa\LmCompatibilityLevel
Network security: LDAP client signing requirements,MACHINE\System\CurrentControlSet\Services\LDAP\LDAPClientIntegrity
Network security: Minimum session security for NTLM SSP based (including secure RPC) clients,MACHINE\System\CurrentControlSet\Control\Lsa\MSV1_0\NTLMMinClientSec
Network security: Minimum session security for NTLM SSP based (including secure RPC) servers,MACHINE\System\CurrentControlSet\Control\Lsa\MSV1_0\NTLMMinServerSec
Network security: Restrict NTLM: Outgoing NTLM traffic to remote servers,MACHINE\System\CurrentControlSet\Control\Lsa\MSV1_0\RestrictSendingNTLMTraffic
Network security: Restrict NTLM: Incoming NTLM traffic,MACHINE\System\CurrentControlSet\Control\Lsa\MSV1_0\RestrictReceivingNTLMTraffic
Network security: Restrict NTLM: Audit Incoming NTLM Traffic,MACHINE\System\CurrentControlSet\Control\Lsa\MSV1_0\AuditReceivingNTLMTraffic
Network security: Restrict NTLM:  NTLM authentication in this domain,MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\RestrictNTLMInDomain
Network security: Restrict NTLM: Audit NTLM authentication in this domain,MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\AuditNTLMInDomain
Network security: Restrict NTLM: Add remote server exceptions for NTLM authentication,MACHINE\System\CurrentControlSet\Control\Lsa\MSV1_0\ClientAllowedNTLMServers
Network security: Restrict NTLM: Add server exceptions in this domain,MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\DCAllowedNTLMServers
Network security: Allow LocalSystem NULL session fallback,MACHINE\System\CurrentControlSet\Control\Lsa\MSV1_0\allownullsessionfallback
Network security: Allow Local System to use computer identity for NTLM,MACHINE\System\CurrentControlSet\Control\Lsa\UseMachineId
Network security: Allow PKU2U authentication requests to this computer to use online identities.,MACHINE\System\CurrentControlSet\Control\Lsa\pku2u\AllowOnlineID
Network security: Configure encryption types allowed for Kerberos,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters\SupportedEncryptionTypes
Recovery console: Allow automatic administrative logon ,MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Setup\RecoveryConsole\SecurityLevel
Recovery console: Allow floppy copy and access to all drives and all folders,MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Setup\RecoveryConsole\SetCommand
Shutdown: Allow system to be shut down without having to log on,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\ShutdownWithoutLogon
Shutdown: Clear virtual memory pagefile,MACHINE\System\CurrentControlSet\Control\Session Manager\Memory Management\ClearPageFileAtShutdown
"System cryptography: Use FIPS compliant algorithms for encryption, hashing, and signing",MACHINE\System\CurrentControlSet\Control\Lsa\FIPSAlgorithmPolicy
System cryptography: Force strong key protection for user keys stored on the computer,MACHINE\Software\Policies\Microsoft\Cryptography\ForceKeyProtection
System objects: Default owner for objects created by members of the Administrators group,MACHINE\System\CurrentControlSet\Control\Lsa\NoDefaultAdminOwner
System objects: Require case insensitivity for non-Windows subsystems,MACHINE\System\CurrentControlSet\Control\Session Manager\Kernel\ObCaseInsensitive
"System objects: Strengthen default permissions of internal system objects (e.g., Symbolic Links) ",MACHINE\System\CurrentControlSet\Control\Session Manager\ProtectionMode
System settings: Optional subsystems,MACHINE\System\CurrentControlSet\Control\Session Manager\SubSystems\optional
System settings: Use Certificate Rules on Windows Executables for Software Restriction Policies,MACHINE\Software\Policies\Microsoft\Windows\Safer\CodeIdentifiers\AuthenticodeEnabled
User Account Control: Admin Approval Mode for the Built-in Administrator account,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\FilterAdministratorToken
User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\ConsentPromptBehaviorAdmin
User Account Control: Behavior of the elevation prompt for standard users,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\ConsentPromptBehaviorUser
User Account Control: Detect application installations and prompt for elevation,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\EnableInstallerDetection
User Account Control: Only elevate executables that are signed and validated,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\ValidateAdminCodeSignatures
User Account Control: Only elevate UIAccess applications that are installed in secure locations,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\EnableSecureUIAPaths
User Account Control: Run all administrators in Admin Approval Mode,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\EnableLUA
User Account Control: Switch to the secure desktop when prompting for elevation,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\PromptOnSecureDesktop
User Account Control: Virtualize file and registry write failures to per-user locations,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\EnableVirtualization
User Account Control: Allow UIAccess applications to prompt for elevation without using the secure desktop.,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\EnableUIADesktopToggle
