Policy name,Value,Recommended Value,ConstantName
Increase scheduling priority,"Administrators,*S-1-5-90-0","Administrators, Window Manager \Window Manager Group",SeIncreaseBasePriorityPrivilege
Load and unload device drivers,Administrators,Administrators,SeLoadDriverPrivilege
Lock pages in memory,Not Set,No One,SeLockMemoryPrivilege
Manage auditing and security log,Administrators,Administrators,SeSecurityPrivilege
Modify an object label,Not Set,No One,SeRelabelPrivilege
Modify firmware environment values,Administrators,Administrators,SeSystemEnvironmentPrivilege
Perform volume maintenance tasks,Administrators,Administrators,SeManageVolumePrivilege
Profile single process,Administrators,Administrators,SeProfileSingleProcessPrivilege
Profile system performance,"Administrators,NT SERVICE\WdiServiceHost","Administrators, NT SERVICE \WdiServiceHost",SeSystemProfilePrivilege
Replace a process level token,"LOCAL SERVICE,NETWORK SERVICE","LOCAL SERVICE, NETWORK SERVICE",SeAssignPrimaryTokenPrivilege
Restore files and directories,"Administrators,Backup Operators",Administrators,SeRestorePrivilege
Shut down the system,"Administrators,Users,Backup Operators","Administrators, Users",SeShutdownPrivilege
Take ownership of files or other objects,Administrators,Administrators,SeTakeOwnershipPrivilege
Accounts: Limit local account use of blank passwords to console logon only,"4,1",1,MACHINE\System\CurrentControlSet\Control\Lsa\LimitBlankPasswordUse
Audit: Force audit policy subcategory settings (Windows Vista or later) to override audit policy category settings,Not Set,1,MACHINE\System\CurrentControlSet\Control\Lsa\SCENoApplyLegacyAuditPolicy
Audit: Shut down system immediately if unable to log security audits,"4,0",0,MACHINE\System\CurrentControlSet\Control\Lsa\CrashOnAuditFail
Domain member: Digitally encrypt or sign secure channel data (always),"4,1",1,MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\RequireSignOrSeal
Domain member: Digitally encrypt secure channel data (when possible),"4,1",1,MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\SealSecureChannel
Domain member: Disable machine account password changes,"4,0",0,MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\DisablePasswordChange
Domain member: Maximum machine account password age,"4,30","30 or fewer days, but not 0",MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\MaximumPasswordAge
Domain member: Require strong (Windows 2000 or later) session key,"4,1",1,MACHINE\System\CurrentControlSet\Services\Netlogon\Parameters\RequireStrongKey
Interactive logon: Do not require CTRL+ALT+DEL,Not Set,0,MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\DisableCAD
Interactive logon: Prompt user to change password before expiration,"4,5",between 5 and 14 days,MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\PasswordExpiryWarning
Interactive logon: Smart card removal behavior,"1,""0""",Lock Workstation,MACHINE\Software\Microsoft\Windows NT\CurrentVersion\Winlogon\ScRemoveOption
Microsoft network client: Digitally sign communications (always),"4,0",1,MACHINE\System\CurrentControlSet\Services\LanmanWorkstation\Parameters\RequireSecuritySignature
Microsoft network server: Amount of idle time required before suspending session,Not Set,15 or fewer minute(s),MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\AutoDisconnect
Microsoft network server: Digitally sign communications (always),"4,0",1,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\RequireSecuritySignature
Microsoft network server: Digitally sign communications (if client agrees),"4,0",1,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\EnableSecuritySignature
Microsoft network server: Disconnect clients when logon hours expire,"4,1",1,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\EnableForcedLogOff
Microsoft network server: Server SPN target name validation level,Not Set,Accept if provided by client,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\SmbServerNameHardeningLevel
Network access: Allow anonymous SID/Name translation,Not Set,0, LSAAnonymousNameLookup
Network access: Do not allow anonymous enumeration of SAM accounts,"4,1",1,MACHINE\System\CurrentControlSet\Control\Lsa\RestrictAnonymousSAM
Network access: Do not allow anonymous enumeration of SAM accounts and shares,"4,0",1,MACHINE\System\CurrentControlSet\Control\Lsa\RestrictAnonymous
Network access: Do not allow storage of passwords and credentials for network authentication,"4,0",1,MACHINE\System\CurrentControlSet\Control\Lsa\DisableDomainCreds
Network access: Let Everyone permissions apply to anonymous users,"4,0",0,MACHINE\System\CurrentControlSet\Control\Lsa\EveryoneIncludesAnonymous
Network access: Named Pipes that can be accessed anonymously,"7,",None,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\NullSessionPipes
Network access: Restrict anonymous access to Named Pipes and Shares,Not Set,1,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\NullSessionShares
Network access: Shares that can be accessed anonymously,Not Set,None,MACHINE\System\CurrentControlSet\Services\LanManServer\Parameters\NullSessionShares 
Network access: Sharing and security model for local accounts,"4,0",Classic - local users authenticate as themselves,MACHINE\System\CurrentControlSet\Control\Lsa\ForceGuest
Network security: Do not store LAN Manager hash value on next password change,"4,1",1,MACHINE\System\CurrentControlSet\Control\Lsa\NoLMHash
Network security: LAN Manager authentication level,Not Set,Send NTLMv2 response only. Refuse LM & NTLM,MACHINE\System\CurrentControlSet\Control\Lsa\LmCompatibilityLevel
Network security: LDAP client signing requirements,"4,1",Negotiate signing,MACHINE\System\CurrentControlSet\Services\LDAP\LDAPClientIntegrity
Network security: Minimum session security for NTLM SSP based (including secure RPC) clients,"4,536870912","Require NTLMv2 session security, Require 128 -bit encryption",MACHINE\System\CurrentControlSet\Control\Lsa\MSV1_0\NTLMMinClientSec
Network security: Minimum session security for NTLM SSP based (including secure RPC) servers,"4,536870912","Require NTLMv2 session security, Require 128 -bit encryption",MACHINE\System\CurrentControlSet\Control\Lsa\MSV1_0\NTLMMinServerSec
Network security: Restrict NTLM: Outgoing NTLM traffic to remote servers,Not Set,Audit all,MACHINE\System\CurrentControlSet\Control\Lsa\MSV1_0\RestrictSendingNTLMTraffic
Network security: Restrict NTLM: Audit Incoming NTLM Traffic,Not Set,Enable auditing for all accounts,MACHINE\System\CurrentControlSet\Control\Lsa\MSV1_0\AuditReceivingNTLMTraffic
Network security: Allow LocalSystem NULL session fallback,Not Set,0,MACHINE\System\CurrentControlSet\Control\Lsa\MSV1_0\allownullsessionfallback
Network security: Allow Local System to use computer identity for NTLM,Not Set,1,MACHINE\System\CurrentControlSet\Control\Lsa\UseMachineId
Network security: Configure encryption types allowed for Kerberos,Not Set,"AES128_HMAC_SHA1, AES256_HMAC_SHA1, Future encryption types",MACHINE\Software\Microsoft\Windows\CurrentVersion\Policies\System\Kerberos\Parameters\SupportedEncryptionTypes
User Account Control: Behavior of the elevation prompt for administrators in Admin Approval Mode,Not Set,Prompt for consent on the secure desktop,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\ConsentPromptBehaviorAdmin
User Account Control: Behavior of the elevation prompt for standard users,Not Set,Automatically deny elevation requests,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\ConsentPromptBehaviorUser
User Account Control: Detect application installations and prompt for elevation,Not Set,1,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\EnableInstallerDetection
User Account Control: Only elevate UIAccess applications that are installed in secure locations,Not Set,1,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\EnableSecureUIAPaths
User Account Control: Run all administrators in Admin Approval Mode,Not Set,1,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\EnableLUA
User Account Control: Switch to the secure desktop when prompting for elevation,Not Set,1,SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System\PromptOnSecureDesktop
